0.012,0.082
0.002,0.082
0.002,0.082
0.002,0.082
0.002,0.082
0.022,0.082
0.022,0.082
0.022,0.082
0.022,0.082
0.022,0.082
0.032,0.082
0.032,0.082
0.032,0.082
0.032,0.082
0.032,0.082
0.042,0.082
0.042,0.082
0.042,0.082
0.042,0.082
0.042,0.082
0.052,0.082
0.052,0.082
0.052,0.082
0.052,0.082
0.052,0.082
0.012,0.082
0.012,0.082
0.012,0.082
0.012,0.072
0.012,0.072
0.012,0.072
0.012,0.072
0.012,0.072
0.012,0.062
0.012,0.062
0.012,0.062
0.012,0.062
0.012,0.082
0.012,0.082
0.012,0.082
